generation,score
1,20
2,20
2,20
2,20
2,20
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
2,30
3,20
3,20
3,20
3,20
3,50
3,50
3,50
3,50
4,20
4,20
4,20
4,20
4,40
4,40
4,40
4,40
4,70
4,70
4,70
4,70
4,70
4,70
4,70
4,70
4,70
4,70
5,20
5,20
5,20
5,20
5,50
5,50
5,50
5,50
5,50
5,50
5,50
5,80
5,80
5,80
5,80
5,80
5,80
5,80
6,20
6,20
6,20
6,20
6,40
6,40
6,40
6,40
6,40
6,40
6,40
6,50
6,50
6,50
6,50
6,50
6,50
6,50
6,50
6,50
6,50
7,20
7,20
7,20
7,20
8,20
9,20
9,30
9,40
10,20
10,40
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,50
10,80
10,80
10,80
10,80
10,80
10,80
10,80
10,80
10,80
10,80
11,20
12,20
13,20
13,40
13,40
13,40
13,40
13,40
13,40
13,40
13,40
13,40
13,40
13,50
13,50
13,50
13,50
13,50
13,50
13,50
13,50
13,50
13,50
13,60
13,60
13,60
13,60
13,60
13,60
13,60
13,60
13,60
14,20
14,20
14,20
14,20
15,20
15,20
15,20
15,20
15,40
15,40
15,40
15,40
15,40
15,40
15,40
15,50
15,50
15,50
15,50
15,50
15,50
15,50
15,50
15,50
15,50
16,20
17,20
17,30
17,30
17,30
17,30
17,30
17,30
17,30
17,30
17,30
17,30
18,20
19,20
19,20
19,20
19,20
20,20
20,20
20,20
20,20
20,60
20,60
20,60
20,60
20,60
20,60
20,60
20,60
20,60
20,60
21,20
21,20
21,20
21,20
21,40
21,40
21,40
21,40
21,40
21,40
21,40
21,60
21,60
21,60
21,60
21,60
21,60
21,60
22,20
22,30
22,30
22,30
22,30
22,30
22,30
22,30
22,30
22,30
22,30
22,40
22,40
22,40
22,40
22,40
22,40
22,40
22,40
22,40
22,40
22,50
22,50
22,50
22,50
22,50
22,50
22,50
22,50
22,50
22,50
23,20
23,40
23,40
23,40
23,40
24,20
24,30
24,30
24,30
24,30
24,30
24,30
24,30
24,30
24,30
24,30
25,20
26,20
26,20
26,20
26,20
26,40
26,40
26,40
26,40
27,20
27,20
27,20
27,20
27,40
27,40
27,40
27,40
27,40
27,40
27,40
27,50
27,50
27,50
27,50
27,50
27,50
27,50
27,50
27,50
27,50
27,60
27,60
27,60
27,60
27,60
27,60
27,60
27,60
27,60
27,60
28,20
28,20
28,20
28,20
29,20
30,20
30,20
30,20
30,20
30,60
30,60
30,60
30,60
30,60
30,60
30,60
30,60
30,60
30,60
31,20
31,20
31,20
31,20
31,40
31,40
31,40
31,40
31,40
31,40
31,40
32,20
32,20
32,20
32,20
32,40
32,40
32,40
32,40
32,50
32,50
32,50
32,50
32,50
32,50
32,50
32,70
32,70
32,70
32,70
32,70
32,70
32,70
32,70
32,70
32,70
33,20
34,20
34,20
34,20
34,20
34,40
